--- Office Tracking Log Started: 2025-08-26 10:53:54 ---
2025-08-26 11:06:41 - Person Person 14: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='16.73s', Details='Changed from 'standing' to 'working'.'
2025-08-26 11:06:41 - Person Person 16: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='16.73s', Details='Changed from 'standing' to 'working'.'
2025-08-26 11:06:41 - Person Person 17: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='16.73s', Details='Changed from 'standing' to 'working'.'
2025-08-26 11:07:27 - Person Person 14: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='17.70s', Details='Changed from 'working' to 'standing'.'
2025-08-26 11:08:07 - Person Person 15: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='18.57s', Details='Changed from 'standing' to 'working'.'
2025-08-26 11:08:45 - Person Person 18: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='19.40s', Details='Changed from 'standing' to 'working'.'
2025-08-26 11:08:47 - Person Person 16: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='19.43s', Details='Changed from 'working' to 'standing'.'
2025-08-26 11:08:47 - Person Person 18: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='19.43s', Details='Changed from 'working' to 'standing'.'
2025-08-26 11:08:50 - Person Person 16: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='19.50s', Details='Changed from 'standing' to 'working'.'
2025-08-26 11:08:53 - Person Person 15: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='19.57s', Details='Changed from 'working' to 'standing'.'
2025-08-26 11:08:53 - Person Person 16: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='19.57s', Details='Changed from 'working' to 'standing'.'
2025-08-26 11:09:07 - Person Person 14: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='19.87s', Details='Changed from 'standing' to 'working'.'
2025-08-26 11:09:31 - Person Person 14: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='20.37s', Details='Changed from 'working' to 'standing'.'
2025-08-26 11:09:35 - Person Person 14: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='20.47s', Details='Changed from 'standing' to 'working'.'
2025-08-26 11:09:37 - Person Person 14: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='20.50s', Details='Changed from 'working' to 'standing'.'
2025-08-26 11:10:08 - Person Person 14: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='21.17s', Details='Changed from 'standing' to 'working'.'
2025-08-26 11:10:15 - Person Person 14: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='21.33s', Details='Changed from 'working' to 'standing'.'
2025-08-26 11:10:18 - Person Person 14: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='21.40s', Details='Changed from 'standing' to 'working'.'
2025-08-26 11:10:20 - Person Person 14: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='21.43s', Details='Changed from 'working' to 'standing'.'
2025-08-26 11:12:12 - Person Person 14: Event='ACTIVITY_CHANGE', CCTV Time='N/A', Video Time='23.83s', Details='Changed from 'standing' to 'working'.'
